src,dst,relation
sess-75b73eb856,maria,observed_user
sess-75b73eb856,alex,observed_user
sess-75b73eb856,alex,observed_user
sess-75b73eb856,priya,observed_user
sess-75b73eb856,samir,observed_user
sess-75b73eb856,alex,observed_user
camp-694c50f92c,45.83.64.199,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,45.83.64.199,originates_from_ip
sess-beed17fe02,root,observed_user
camp-694c50f92c,198.51.10.105,originates_from_ip
sess-beed17fe02,alex,observed_user
camp-694c50f92c,45.83.64.199,originates_from_ip
sess-beed17fe02,admin,observed_user
camp-694c50f92c,198.51.10.71,originates_from_ip
sess-beed17fe02,alex,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,45.83.64.199,originates_from_ip
sess-beed17fe02,admin,observed_user
camp-694c50f92c,185.220.101.227,originates_from_ip
sess-beed17fe02,svc-backup,observed_user
camp-694c50f92c,185.220.101.227,originates_from_ip
sess-beed17fe02,svc-backup,observed_user
camp-694c50f92c,198.51.10.168,originates_from_ip
sess-beed17fe02,priya,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,185.220.101.227,originates_from_ip
sess-beed17fe02,admin,observed_user
camp-694c50f92c,185.220.101.227,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,185.220.101.227,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,198.51.10.234,originates_from_ip
sess-beed17fe02,samir,observed_user
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,root,observed_user
camp-694c50f92c,185.220.101.7,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,198.51.10.237,originates_from_ip
sess-beed17fe02,alex,observed_user
camp-694c50f92c,185.220.101.173,originates_from_ip
sess-beed17fe02,svc-backup,observed_user
camp-694c50f92c,185.220.101.173,originates_from_ip
sess-beed17fe02,root,observed_user
camp-694c50f92c,185.220.101.173,originates_from_ip
sess-beed17fe02,admin,observed_user
camp-694c50f92c,198.51.10.119,originates_from_ip
sess-beed17fe02,maria,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,185.220.101.173,originates_from_ip
sess-beed17fe02,root,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-694c50f92c,10.10.20.142,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,10.10.20.142,originates_from_ip
sess-beed17fe02,svc-backup,observed_user
camp-694c50f92c,10.10.20.142,originates_from_ip
sess-beed17fe02,admin,observed_user
camp-694c50f92c,10.10.20.142,originates_from_ip
sess-beed17fe02,ubuntu,observed_user
camp-694c50f92c,198.51.100.39,originates_from_ip
camp-4e520304e4,45.83.64.93,originates_from_ip
sess-5d187736f1,svc-backup,observed_user
camp-4e520304e4,45.83.64.93,originates_from_ip
sess-5d187736f1,ubuntu,observed_user
camp-4e520304e4,198.51.100.197,originates_from_ip
camp-4e520304e4,198.51.10.168,originates_from_ip
sess-5d187736f1,samir,observed_user
camp-4e520304e4,198.51.100.197,originates_from_ip
camp-4e520304e4,198.51.100.197,originates_from_ip
camp-4e520304e4,45.83.64.93,originates_from_ip
