src,dst,relation
phishcamp-f4653605d7,chas1.top,uses_domain
phishcamp-f4653605d7,https://chas1.top/portal/update,delivers_url
phishcamp-f4653605d7,microsoft-login.co,uses_domain
phishcamp-f4653605d7,https://microsoft-login.co/portal/update,delivers_url
phishcamp-20cbc7ba00,dropb0x.co,uses_domain
phishcamp-20cbc7ba00,https://dropb0x.co/helpdesk/ticket/identity-check,delivers_url
phishcamp-94ba073465,bankofamerica-verify-portal.co,uses_domain
phishcamp-94ba073465,https://bankofamerica-verify-portal.co/account/review/54b065,delivers_url
phishcamp-94ba073465,bankofamerica-verify-portal.support,uses_domain
phishcamp-94ba073465,https://bankofamerica-verify-portal.support/account/review/1dab77,delivers_url
phishcamp-94ba073465,bankofamerica.info,uses_domain
phishcamp-94ba073465,https://bankofamerica.info/identity/verify,delivers_url
phishcamp-20cbc7ba00,google-secure.info,uses_domain
phishcamp-20cbc7ba00,https://google-secure.info/helpdesk/ticket/identity-check,delivers_url
phishcamp-20cbc7ba00,secure-account.dropbox.verify-user.com,uses_domain
phishcamp-20cbc7ba00,https://secure-account.dropbox.verify-user.com/session/d17fe026,delivers_url
phishcamp-ffb98a9522,amazоn.com,uses_domain
phishcamp-ffb98a9522,https://amazоn.com/identity/account,delivers_url
phishcamp-f4653605d7,secure-account.chase.verify-user.com,uses_domain
phishcamp-f4653605d7,https://secure-account.chase.verify-user.com/session/5d30c766,delivers_url
phishcamp-f4653605d7,chase-account-portal.info,uses_domain
phishcamp-f4653605d7,https://chase-account-portal.info/account/review/55c33b,delivers_url
phishcamp-3eb856c052,xn--googl-fsa.net,uses_domain
phishcamp-3eb856c052,https://xn--googl-fsa.net/account/verify,delivers_url
phishcamp-20cbc7ba00,dropbox.support,uses_domain
phishcamp-20cbc7ba00,https://dropbox.support/identity/account,delivers_url
phishcamp-20cbc7ba00,dropbox.support,uses_domain
phishcamp-20cbc7ba00,https://dropbox.support/identity/account,delivers_url
phishcamp-94ba073465,xn--pple-43d.com,uses_domain
phishcamp-94ba073465,https://xn--pple-43d.com/signin,delivers_url
phishcamp-20cbc7ba00,apple-verify.info,uses_domain
phishcamp-20cbc7ba00,https://apple-verify.info/helpdesk/ticket/identity-check,delivers_url
phishcamp-ffb98a9522,amazon-account-portal.support,uses_domain
phishcamp-ffb98a9522,https://amazon-account-portal.support/account/review/75fb7d,delivers_url
phishcamp-ffb98a9522,amazоn.com,uses_domain
phishcamp-ffb98a9522,https://amazоn.com/identity/account,delivers_url
phishcamp-ffb98a9522,xn--googl-fsa.net,uses_domain
phishcamp-ffb98a9522,https://xn--googl-fsa.net/auth/session/review,delivers_url
phishcamp-20cbc7ba00,dropbox-support.info,uses_domain
phishcamp-20cbc7ba00,https://dropbox-support.info/helpdesk/ticket/identity-check,delivers_url
phishcamp-94ba073465,xn--googl-fsa.net,uses_domain
phishcamp-94ba073465,https://xn--googl-fsa.net/signin,delivers_url
phishcamp-20cbc7ba00,chase-update.co,uses_domain
phishcamp-20cbc7ba00,https://chase-update.co/helpdesk/ticket/identity-check,delivers_url
phishcamp-f4653605d7,microsoft-support.co,uses_domain
phishcamp-f4653605d7,https://microsoft-support.co/portal/update,delivers_url
phishcamp-ffb98a9522,amazon-account-portal.support,uses_domain
phishcamp-ffb98a9522,https://amazon-account-portal.support/account/review/93d94d,delivers_url
phishcamp-f4653605d7,chase.com,uses_domain
phishcamp-f4653605d7,https://chase.com/identity/account,delivers_url
phishcamp-3eb856c052,secure-secure.microsoft.verify-user.com,uses_domain
phishcamp-3eb856c052,https://secure-secure.microsoft.verify-user.com/session/29326d2f,delivers_url
phishcamp-ffb98a9522,xn--googl-fsa.net,uses_domain
phishcamp-ffb98a9522,https://xn--googl-fsa.net/auth/session/review,delivers_url
phishcamp-3eb856c052,apple-account.support,uses_domain
phishcamp-3eb856c052,https://apple-account.support/account/verify,delivers_url
phishcamp-94ba073465,chase-secure.co,uses_domain
phishcamp-94ba073465,https://chase-secure.co/signin,delivers_url
phishcamp-20cbc7ba00,dropbox-account-portal.info,uses_domain
phishcamp-20cbc7ba00,https://dropbox-account-portal.info/account/review/f37f52,delivers_url
phishcamp-20cbc7ba00,dropbox.support,uses_domain
phishcamp-20cbc7ba00,https://dropbox.support/identity/account,delivers_url
phishcamp-ffb98a9522,xn--pple-43d.com,uses_domain
