src,dst,relation
user-1916,198.51.101.184,uses_ip
user-1916,New York,visits_location
user-1916,198.51.101.50,uses_ip
user-1916,New York,visits_location
user-1916,198.51.101.124,uses_ip
user-1916,New York,visits_location
user-1916,198.51.101.157,uses_ip
user-1916,New York,visits_location
user-7438,198.51.102.240,uses_ip
user-7438,San Francisco,visits_location
user-7438,198.51.102.41,uses_ip
user-7438,San Francisco,visits_location
user-7438,198.51.102.184,uses_ip
user-7438,San Francisco,visits_location
user-8167,198.51.102.58,uses_ip
user-8167,San Francisco,visits_location
user-8167,198.51.102.235,uses_ip
user-8167,San Francisco,visits_location
user-8167,198.51.102.79,uses_ip
user-8167,San Francisco,visits_location
user-4878,198.51.102.22,uses_ip
user-4878,San Francisco,visits_location
user-4878,198.51.102.216,uses_ip
user-4878,San Francisco,visits_location
user-4878,198.51.102.239,uses_ip
user-4878,San Francisco,visits_location
user-7206,198.51.101.126,uses_ip
user-7206,New York,visits_location
user-7206,198.51.101.92,uses_ip
user-7206,New York,visits_location
user-7206,198.51.101.238,uses_ip
user-7206,New York,visits_location
user-7206,198.51.101.149,uses_ip
user-7206,New York,visits_location
user-1708,198.51.100.120,uses_ip
user-1708,Chicago,visits_location
user-1708,198.51.100.235,uses_ip
user-1708,Chicago,visits_location
user-1708,198.51.100.239,uses_ip
user-1708,Chicago,visits_location
user-1708,198.51.100.189,uses_ip
user-1708,Chicago,visits_location
user-8219,198.51.100.177,uses_ip
user-8219,Chicago,visits_location
user-8219,203.0.113.110,uses_ip
user-8219,London,visits_location
user-8219,203.0.113.91,uses_ip
user-8219,London,visits_location
user-3571,198.51.100.148,uses_ip
user-3571,Chicago,visits_location
user-3571,203.0.114.153,uses_ip
user-3571,Singapore,visits_location
user-3571,203.0.114.63,uses_ip
user-3571,Singapore,visits_location
user-8751,198.51.100.149,uses_ip
user-8751,Chicago,visits_location
user-8751,198.51.100.8,uses_ip
user-8751,Chicago,visits_location
user-8751,198.51.100.240,uses_ip
user-8751,Chicago,visits_location
user-8751,198.51.100.16,uses_ip
user-8751,Chicago,visits_location
user-5703,198.51.102.96,uses_ip
user-5703,San Francisco,visits_location
user-5703,198.51.102.197,uses_ip
user-5703,San Francisco,visits_location
user-5703,198.51.102.4,uses_ip
user-5703,San Francisco,visits_location
user-5703,198.51.102.23,uses_ip
user-5703,San Francisco,visits_location
user-9138,198.51.100.107,uses_ip
user-9138,Chicago,visits_location
user-9138,198.51.100.227,uses_ip
user-9138,Chicago,visits_location
user-9138,198.51.100.245,uses_ip
user-9138,Chicago,visits_location
user-9138,198.51.100.129,uses_ip
user-9138,Chicago,visits_location
user-6265,198.51.101.7,uses_ip
user-6265,New York,visits_location
user-6265,203.0.114.199,uses_ip
user-6265,Singapore,visits_location
user-6265,203.0.114.93,uses_ip
user-6265,Singapore,visits_location
user-2014,198.51.102.174,uses_ip
user-2014,San Francisco,visits_location
user-2014,198.51.102.185,uses_ip
user-2014,San Francisco,visits_location
user-2014,198.51.102.22,uses_ip
user-2014,San Francisco,visits_location
user-2014,198.51.102.153,uses_ip
user-2014,San Francisco,visits_location
user-8526,198.51.102.9,uses_ip
user-8526,San Francisco,visits_location
user-8526,198.51.102.38,uses_ip
user-8526,San Francisco,visits_location
user-8526,198.51.102.59,uses_ip
user-8526,San Francisco,visits_location
user-8526,198.51.102.42,uses_ip
user-8526,San Francisco,visits_location
user-4536,198.51.100.124,uses_ip
user-4536,Chicago,visits_location
user-4536,198.51.100.39,uses_ip
user-4536,Chicago,visits_location
user-4536,198.51.100.196,uses_ip
user-4536,Chicago,visits_location
user-4536,198.51.100.225,uses_ip
user-4536,Chicago,visits_location
user-4887,198.51.100.109,uses_ip
user-4887,Chicago,visits_location
user-4887,198.51.100.188,uses_ip
user-4887,Chicago,visits_location
user-4887,198.51.100.24,uses_ip
user-4887,Chicago,visits_location
user-4887,198.51.100.208,uses_ip
user-4887,Chicago,visits_location
user-1930,198.51.100.225,uses_ip
user-1930,Chicago,visits_location
user-1930,198.51.100.235,uses_ip
user-1930,Chicago,visits_location
